index,timestamp,en_text,zh_opus,zh_translated
28,"00:01:54,400 --> 00:01:58,240",differences and be better zoogether.,或许我们可以接纳彼此的差异 携手共进 共创美好未来,"不同,更好地在一起."
29,"00:01:59,220 --> 00:02:01,976","We're gonna crack a new case, make the world a better place,",我们要侦破一起新案件,"我们将打开一个新的案例, 让世界变得更美好,"
30,"00:02:02,010 --> 00:02:03,918",and be the greatest partners of all time!,让世界变得更美好,你们应当成为最伟大的伙伴.
31,"00:02:04,981 --> 00:02:06,498","I mean, we're not that different.",成为史上最棒的搭档！,"我的意思是,我们并不那么不同."
32,"00:02:18,539 --> 00:02:24,420","At the ZPD, partnership is the cornerstone of success.",伙伴关系是成功的基石,"在ZPD,合作是 这是成功的基石."
33,"00:02:24,709 --> 00:02:26,586",You want to put bad guys away?,你想把坏人绳之以法吗？,你想把坏人关进监狱吗?
34,"00:02:27,000 --> 00:02:29,280",Be on the same page every day.,每天保持步调一致,每天都在同一页面上.
35,"00:02:29,856 --> 00:02:32,992","Now, today's bad guy is this customs inspector,",每天保持步调一致,"现在,今天的坏人 这位海关检查员,"
36,"00:02:33,037 --> 00:02:37,720",who's been smuggling illegal overseas cargo through the city's shipyard.,如今 今天的坏蛋是这位海关检查员,谁一直在走私非法 通过城市的造船厂.
37,"00:02:37,960 --> 00:02:40,797",Captains Hoggbottom and Truffler will lead.,他一直在走私非法的海外货物,霍格博特姆和特鲁夫勒将领导.
38,"00:02:40,880 --> 00:02:45,168","Higgins, Bloats, flank left, Chèvre, Bücheron, right,",猪贝贝队长和松露露队长将率队前行,"希金斯,布洛茨,左翼, 切弗,布舍龙,右,"
39,"00:02:45,202 --> 00:02:48,200","- and down the middle, the Zebros. - Zebros!",谢弗尔 布歇龙 右翼  中路是.....,"- 在中间,是Zebros. - 塞布罗斯!"
40,"00:02:48,320 --> 00:02:50,840","Hopps and Wilde, I know you're eager to prove yourselves,",斑马兄弟 黑白配  霍普斯和王尔德,"霍普斯和怀尔德, 我知道你们渴望证明自己,"
41,"00:02:50,923 --> 00:02:56,480","but as rookies, you will observe only and watch the veteran teams show you how it-",但作为新秀  你们只能旁观,"但作为新手,你只会观察 看老兵团队向你展示如何..."
42,"00:02:57,880 --> 00:02:59,209","Chief, hi.",看着老牌队伍向你们展示如何……做到的,"主管,你好吗?"
43,"00:02:59,320 --> 00:03:00,800",If you're looking for Nick and Judy.,局长  如果你在找尼克和朱迪,如果你正在寻找尼克和朱迪.
44,"00:03:00,883 --> 00:03:05,800",They said they got it! And they're already on site with their baby!,局长  如果你在找尼克和朱迪,他们说他们得到了它! 他们已经带着孩子到现场了!
45,"00:03:15,080 --> 00:03:16,157",Are you sure this will work?,你确定这一切都有效吗？,你确定这会奏效吗?
46,"00:03:16,240 --> 00:03:18,000",You're the one that said we needed a bust.,你确定这一切都有效吗？,你是那个说我们需要一个逮捕.
47,"00:03:18,083 --> 00:03:20,197","Just follow my lead, okay? Act casual.",你确定这一切都有效吗？,"只要跟随我,好吗? 随便的行为."
48,"00:03:20,302 --> 00:03:21,518",- Hey! - Here we go.,是你说我们需要一个生日礼物的,- ! - ! - 这是我们开始的.
49,"00:03:21,587 --> 00:03:22,200",Hello!,跟着我的指示走就行了,您好!
50,"00:03:22,613 --> 00:03:25,313",This whole area is restricted. You can't be here.,嘿 走吧,这整个区域是封闭的. 你不能在这里.
51,"00:03:25,480 --> 00:03:27,397",Whoa. Fox and bunny.,这整个区域都是禁区,",这是一个问题. 狐和子."
52,"00:03:27,480 --> 00:03:31,240","- Okay... - Yes, but proud parents first, Mr...",哇 狐狸和兔子,"- 好吧. - 是的,但首先是骄傲的父母,先生..."
53,"00:03:31,360 --> 00:03:34,108",Inspector. Inspector Snootley.,但最先自豪的是父母,检查员. 斯诺特利检查员.
54,"00:03:34,153 --> 00:03:35,782",Inspector?,先生  你是？……督察,检查员?
55,"00:03:35,827 --> 00:03:36,800",What do you do?,斯努特利督察,你做什么?
56,"00:03:36,883 --> 00:03:40,240",Ensure that nothing illegal gets smuggled here in one of these cargo containers?,督察？,确保没有任何非法东西被走私 在一个货物容器里?
57,"00:03:40,840 --> 00:03:42,900",That's a weird way to ask that.,确保没有任何非法物品  通过这些货柜被走私进来？,这是一个奇怪的方式来问.
58,"00:03:42,960 --> 00:03:43,997","Anyway, you got to leave.",确保没有任何非法物品  通过这些货柜被走私进来？,"无论如何,你必须离开."
59,"00:03:44,080 --> 00:03:45,160",You can't be here!,这么问可真奇怪,你不能在这里!
60,"00:03:45,280 --> 00:03:46,960","Wait, wait.",这么问可真奇怪,"等待,等待."
61,"00:03:47,600 --> 00:03:49,080","He's right, gosh darn it.",总之 你得走了  你不能在这里！,"他是对的,可怜的."
62,"00:03:49,640 --> 00:03:51,000","You are right, sir.",等等,"你是对的,先生."
63,"00:03:51,480 --> 00:03:53,920","I guess we should have thought this through. Right, babe?",他说得是对的,"我认为我们应该考虑 在这个过程中,对吧,宝贝?"
64,"00:03:54,800 --> 00:04:01,496",Before we decided to come down here to this beautiful industrial shipyard,在我们决定来到这座美丽的工业船厂庆祝之前,在我们决定下来之前 到这个美丽的工业造船厂
65,"00:04:01,541 --> 00:04:06,680",to celebrate the big day of our birthday boy.,在我们决定来到这座美丽的工业船厂庆祝之前,为了庆祝这个伟大的日子 我们的生日男孩.
66,"00:04:07,240 --> 00:04:09,320",It's his birthday?,它们看起来会很棒  庆祝我们寿星的生日,是他的生日吗?
67,"00:04:09,720 --> 00:04:11,360","Yeah, first one since...",它们看起来会很棒  庆祝我们寿星的生日,"是的,自从..."
68,"00:04:12,647 --> 00:04:14,047",Since the accident.,今天是他的生日吗？,在事故发生后.
69,"00:04:16,217 --> 00:04:18,550","And you know the one thing this little stinker wished for,",自从那场事故以来,"你知道这个小事 想要的恶臭,"
70,"00:04:18,796 --> 00:04:21,463","aside from one day getting his tail reattached, yeah,",这个小讨厌唯一的愿望就是,"除了一天 让他的尾巴重新连接,是的,"
71,"00:04:21,487 --> 00:04:24,160",was to see a choo-choo.,除了有一天尾巴被重新接上之外,是去看一个子.
72,"00:04:24,588 --> 00:04:28,003",And to maybe get a toot-toot conductor to sign his cast.,最想做的事就是看看火车头,也许要得到一张牙. 导演要签署他的演员.
73,"00:04:28,081 --> 00:04:33,472",But I'm betting a customs inspector would be even better.,但我敢打赌 海关检查员会更胜一筹,但我敢打一个海关检查员 这会更好.
74,"00:04:33,963 --> 00:04:34,387",Really?,但我敢打赌 海关检查员会更胜一筹,真的?
75,"00:04:35,260 --> 00:04:36,417",All right. For the kid.,但我敢打赌 海关检查员会更胜一筹,"好吧,我可以. 为了孩子."
76,"00:04:36,463 --> 00:04:39,052","- For the kid. - Oh, you're a saint.",但我敢打赌 海关检查员会更胜一筹,"- 为孩子. - ,你是一个圣人."
77,"00:04:39,120 --> 00:04:40,436",We thank you so much. Here you go.,好吧 为了孩子,我们非常感谢您. 这是你的.
78,"00:04:40,481 --> 00:04:43,327",Either leg. Or both! I don't care.,哦 你是个圣人,"两条腿,或两条腿! 我不在乎."
79,"00:04:43,480 --> 00:04:46,028",Maybe put a doodle on it. Doesn't need to be perfect.,任一腿 或双腿,也许把它涂上了. 没有必要是完美的.
80,"00:04:46,106 --> 00:04:47,657",He's also legally blind.,我不介意,他也在法律上是盲人.
81,"00:04:53,400 --> 00:04:56,407",I put a little train there because I know you like trains.,他还被法律认定为视力障碍者,我把一个小火车放在那里. 因为我知道你喜欢火车.
82,"00:04:56,500 --> 00:04:57,560","Come on, come on, come on.",我在那儿画了一辆小火车 因为我知道你喜欢火车,"走吧,走吧,走吧."
83,"00:04:58,320 --> 00:05:00,037","- Just, jiggle it... - Yes, I know.",我在那儿画了一辆小火车 因为我知道你喜欢火车,"- 只是,摇它... - 是的,我知道."
84,"00:05:00,085 --> 00:05:01,005",- Hurry! - I got this.,我在那儿画了一辆小火车 因为我知道你喜欢火车,- 赶紧! - 我可以处理.
85,"00:05:01,061 --> 00:05:02,877","Jiggle it, jiggle it, jiggle it!",快点快点,"着它,着它, 动它!"
86,"00:05:03,472 --> 00:05:04,597",Hopps and Wilde!,轻轻晃动 我知道,霍普斯和怀尔德!
87,"00:05:04,633 --> 00:05:06,106",You are not authorized!,快点  交给我吧 摇晃它 摇晃它 摇晃它 摇晃它,你没有授权!
88,"00:05:06,151 --> 00:05:08,305",Stand down and wait for backup!,快点  交给我吧 摇晃它 摇晃它 摇晃它 摇晃它,"停下来,等待支持!"
89,"00:05:12,735 --> 00:05:14,833",- Toot-toot. - It's the fuzz!,嗯？ 嘟嘟！ 是警察！,- 子子. - 这是!
90,"00:05:14,867 --> 00:05:17,021",Stop! Stop in the name of the law!,嗯？ 嘟嘟！ 是警察！,停下来! 在法律的名义停下来!
91,"00:05:17,200 --> 00:05:18,440","Everybody, run!",嗯？ 嘟嘟！ 是警察！,每个人都跑了!
92,"00:05:21,240 --> 00:05:23,400","Well, can't win 'em all.",大家快跑……,不能赢得所有.
93,"00:05:23,720 --> 00:05:25,920","Get outta the road, you dumb bunny!",啊 好吧,"离开道路,你愚蠢的子!"
94,"00:05:26,440 --> 00:05:27,560",Agree to disagree.,没办法 不可能事事都成功,我们同意不同意.
95,"00:05:28,720 --> 00:05:30,120",My hog rod!,滚开 你这只蠢兔子,我的猪棍子!
96,"00:05:30,480 --> 00:05:32,637",This is a snoutrage!,有道理 恕我不能赞同,这是一个鼻!
97,"00:05:35,220 --> 00:05:39,477",Hopps and Wilde in pursuit of suspect in a stolen catering van heading east-,我的豪车 这简直是奇耻大辱！,"霍普斯和怀尔德追捕嫌疑人 在一个被盗的餐饮货车上,朝着东方..."
98,"00:05:39,560 --> 00:05:42,760",Stop it! Heading east through Sheepshire.,警方正全力追捕一名  驾驶被盗餐饮车向东逃窜的嫌疑人,"停下来吧! 往东,通过谢普希尔."
99,"00:05:56,800 --> 00:05:57,757",Beautiful!,哎呦喂,这是美丽的!
100,"00:05:57,840 --> 00:05:59,521",I'll have what he's having.,哇 真漂亮,我会喝他喝的东西.
101,"00:05:59,666 --> 00:06:03,260","Darlin', I believe your driving's giving me some white hairs.",我要和他点同款式的,"亲爱的,我相信你的驾驶 给我一些白色的头发."
102,"00:06:03,784 --> 00:06:06,277","Also, am I always gonna be in the passenger seat?",亲爱的 我觉得你开车  开得我头发都白了,"另外,我总是会 在乘客座椅上?"
103,"00:06:06,360 --> 00:06:09,760","- Cause if we're establishing sides- - Back off, rookies!",还有 我以后都要坐副驾驶座吗？,"- 因为如果我们正在建立一边... - 退出,新手!"
104,"00:06:09,880 --> 00:06:11,831",Let the real teams handle it!,因为如果我们真的要划分阵营……,让真正的团队处理!
105,"00:06:11,876 --> 00:06:14,499","Ma'am, we are a real team.",退后  菜鸟们 让真正的团队来处理吧！,"女士,我们是一个真正的团队."
106,"00:06:14,555 --> 00:06:15,840","Shortcut, take the tunnel.",退后  菜鸟们 让真正的团队来处理吧！,"捷径,走道."
107,"00:06:26,400 --> 00:06:27,758","Stand down, noobs.",散了 菜鸟们 我们会抓到他的  放可滚动式阻车钉,"停下来,新人."
108,"00:06:27,825 --> 00:06:29,797",We got him. Rolling spikes!,散了 菜鸟们 我们会抓到他的  放可滚动式阻车钉,我们抓到了他.
109,"00:06:29,880 --> 00:06:31,177",Rolling spikes.,散了 菜鸟们 我们会抓到他的  放可滚动式阻车钉,滚动的尖.
110,"00:06:41,500 --> 00:06:43,360",I hate that dumb bunny.,我讨厌那只蠢兔子,我讨厌那个子.
111,"00:07:06,507 --> 00:07:07,704",I'm gonna jump.,啊 我要跳上去了 什么,我会跳起来.
112,"00:07:07,746 --> 00:07:09,560","No, no, no, what, what are you, you can't.",啊 我要跳上去了 什么,"没有,没有,没有,什么, 你是什么,你不能."
113,"00:07:09,643 --> 00:07:11,842","Hey, I would like to call a partner meeting!",啊 我要跳上去了 什么,",我想打电话 一个合作伙伴会议!"
114,"00:07:11,920 --> 00:07:12,847",You can't-,不不不 你在说什么……,你不能--
115,"00:07:13,317 --> 00:07:14,197",Judy!,我想召开一次合伙人会议,朱迪!
116,"00:07:23,780 --> 00:07:26,077","Please, join me in a moment of silence",请与我一同为我们敬爱的气候墙发明者,请和我一起沉默一会儿.
117,"00:07:26,160 --> 00:07:30,240","for our beloved weather wall inventor, Ebenezer Lynxley.",请与我一同为我们敬爱的气候墙发明者,"为了我们所爱的天气墙的发明者, 艾贝内泽·林克斯利."
118,"00:07:35,691 --> 00:07:36,731",Zebros!,黑白配,塞布罗斯!
119,"00:07:51,700 --> 00:07:52,920",Reptile.,爬行动物,爬行动物.
120,"00:07:59,186 --> 00:08:02,000",Zootopia ain't just a mammal city.,局长 那两个家伙失控了！,动物园不仅仅是哺乳动物的城市.
121,"00:08:02,400 --> 00:08:06,396",It has a secret tiny reptile population.,动物城可不只是个哺乳动物的城市,它有一个秘密的小爬行动物种群.
122,"00:08:06,982 --> 00:08:08,662",The most live abroad.,这里隐藏着一个秘密的小型爬行动物种群,最多的人住在国外.
123,"00:08:08,880 --> 00:08:11,920","Of course, Zootopia does not allow snakes.",尽管大多数人定居在海外,"当然,Zootopia不允许蛇."
124,"00:08:12,840 --> 00:08:16,820",Ain't been one of those around here for at least 100 years.,这地方至少有一百年  没见过这种东西了,这不是周围的人之一. 这里至少有100年.
125,"00:08:16,954 --> 00:08:19,877",Scales and Tales of the Weird!,这地方至少有一百年  没见过这种东西了,奇怪的尺度和故事!
126,"00:08:19,960 --> 00:08:25,080","Yeah, not sure Nibbles Maplestick is our most reliable source.",嗯……我不确定狸宝   算不算我们最可靠的消息来源,"是的,我不确定Nibbles Maplestick是 我们最可靠的来源."
127,"00:08:25,240 --> 00:08:28,182","Bunny, orange dog, in here now.",嗯……我不确定狸宝   算不算我们最可靠的消息来源,"子,色狗,现在来这里."
128,"00:08:30,032 --> 00:08:32,713","Sir, today may not have been ideal, but the anteater was captured.",局长 今天或许并非尽如人意,"先生,今天可能不是理想的, 但食者被捕."
129,"00:08:32,758 --> 00:08:35,143",- By the Zebros! - Zebros!,但食蚁兽被捕获了,- 通过Zebros! - 塞布罗斯!
130,"00:08:35,168 --> 00:08:36,920",- Shut it! - Zebros.,是斑马兄弟立得功！黑白配！闭嘴！,- 关闭它! - 塞布罗斯.
131,"00:08:37,601 --> 00:08:38,436",It was us.,是斑马兄弟立得功！黑白配！闭嘴！,这是我们.
132,"00:08:38,483 --> 00:08:42,724","But more importantly, I believe we may have made a significant discovery.",是我们.... 但更重要的是,"但更重要的是,我相信我们 可能是有意义的发现."
133,"00:08:42,970 --> 00:08:47,597","The stolen van contained a smuggled crate from overseas, pamphlets for the Zootennial",被盗的货车里装有一个从海外走私来的箱子,这辆被盗的货车里含有走私的箱子. 来自海外的动物园年鉴小册子
134,"00:08:47,680 --> 00:08:49,477",and some type of reptile skin.,为动物年展的小册子......  以及某种爬行动物皮,和一些爬行动物皮肤.
135,"00:08:49,560 --> 00:08:51,128",I've already sent samples for testing.,为动物年展的小册子......  以及某种爬行动物皮,我已经发送了样本进行测试.
136,"00:08:51,195 --> 00:08:53,684",What needs testing is you!,我已经寄送了样品进行检测,需要测试的是你!
137,"00:08:53,717 --> 00:08:56,036",You two tore up half the city!,而需要测试的是你,你们两个打破了半个城市!
138,"00:08:56,061 --> 00:09:00,771","Because of you, we had to call in Jumbo Unit to remove a dik-dik from a tuba!",因为你 我们不得不叫来巨型救援队  把一只小犬羚从大号里弄出来！,"因为你,我们不得不打电话给Jumbo 单元将一个滴滴从一个管道!"
139,"00:09:00,800 --> 00:09:03,600",- You're almost out! - Please help! Please help!,因为你 我们不得不叫来巨型救援队  把一只小犬羚从大号里弄出来！,"- 你差不多走了! - 请帮忙,请帮忙!"
140,"00:09:04,260 --> 00:09:06,195","- Who's catching him? - Sorry,",你快要出来了,- 谁抓住他? - 很抱歉.
141,"00:09:06,340 --> 00:09:07,600",could you show me that clip again?,谁能接住他,你能再给我看看吗?
142,"00:09:07,625 --> 00:09:09,100",Wasn't wearing my glasses.,抱歉 你能再给我看一遍那段视频吗？,我没有戴我的眼镜.
143,"00:09:09,320 --> 00:09:13,455",Did you or did you not disobey a direct order to stand down?,你是否违抗了直接的撤退命令？,你不服从了吗? 一个直接的命令放弃?
144,"00:09:13,480 --> 00:09:17,557","Sir, we were in pursuit, and Article 6, Paragraph B states if the lead officer-",你是否违抗了直接的撤退命令？,"先生,我们正在追捕,第6条, 在B段规定,如果首席官-"
145,"00:09:17,648 --> 00:09:19,842",You are not lead officers!,如果带队警官...你们不是领导干部！,你不是首席官!
146,"00:09:19,867 --> 00:09:24,555",You're one-hit wonders who should go back to meter maiding and slinging popsicles!,如果带队警官...你们不是领导干部！,你只想知道谁应该回去. 子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子
147,"00:09:24,680 --> 00:09:28,963","If I may, I think someone's just jealous that we got to drive the squeal mobile.",你们是昙花一现的歌手 还是回去当抄表员或者卖冰棍吧！,"如果我可以,我想有人只是嫉妒 我们必须驾驶""尖叫""手机."
148,"00:09:29,075 --> 00:09:31,968",Or maybe you thought it was your mama.,我觉得有人只是嫉妒我们能开尖叫车,或许你以为是你的.
149,"00:09:32,062 --> 00:09:34,566","Enough! Everybody, out!",或许你以为那是你妈妈,这就够了! 每个人都出去!
150,"00:09:39,600 --> 00:09:43,528","Officer Hopps, despite my best efforts to avoid it,",霍布斯警官  尽管我竭尽全力避免........,"霍普斯警官,尽管我竭尽全力 努力避免这种情况,"
151,"00:09:43,941 --> 00:09:45,040",I like you.,霍布斯警官  尽管我竭尽全力避免........,我喜欢你.
152,"00:09:45,560 --> 00:09:50,497",But this need to overdo it,但这种过度表现的冲动,但这需要过度.
153,"00:09:50,580 --> 00:09:53,120",made both of you a headline today.,但这种过度表现的冲动,今天你们两个都成为了头条新闻.
154,"00:09:53,840 --> 00:09:59,800","And it reflects badly on me, on the department, and frankly, on any bunny",这不仅对我本人 也对我们部门造成了负面影响,"这对我来说是很糟糕的, 坦率地说,任何子"
155,"00:10:00,000 --> 00:10:03,040",hoping to follow in your footsteps.,坦率地说 任何一只希望追随你脚步的兔子,希望跟随你的脚步.
156,"00:10:04,800 --> 00:10:07,992",Not every case is going to save the world.,坦率地说 任何一只希望追随你脚步的兔子,不是每个案例都能拯救世界.
157,"00:10:09,540 --> 00:10:10,246","Knock, knock.",并非每个案子都能拯救世界,"敲门,敲门."
158,"00:10:11,106 --> 00:10:11,720",Hi.,咚咚,您好.
159,"00:10:11,954 --> 00:10:15,875","You know this kinda, this sounds a lot like just a you guys conversation.",你好,"你知道,这听起来很像 只是你们的谈话."
160,"00:10:15,900 --> 00:10:17,177",So what I'm going to do is I'm going to go ahead-,你知道 这种对话听起来   很像你们俩之间的私下谈话,"那么,我会做什么? 是否我会继续--"
161,"00:10:17,202 --> 00:10:20,240",Is there a reason why you don't take anything seriously?,你知道 这种对话听起来   很像你们俩之间的私下谈话,你有没有理由 没有认真对待任何事?
162,"00:10:20,280 --> 00:10:23,238",Jokes are a classic defense mechanism for someone with a traumatic childhood.,你为什么对什么事都不认真？是不是有什么原因？,玩笑是一种经典的防御机制. 对于一个经历过创伤的童年的人来说.
163,"00:10:23,271 --> 00:10:25,325",Would you like a traumatic adulthood?,对于童年遭受创伤的人来说 吊儿郎当是一种经典的防御机制,你想要一个创伤性的成年?
164,"00:10:26,173 --> 00:10:26,951",I would not.,对于童年遭受创伤的人来说 吊儿郎当是一种经典的防御机制,我不会这样做.
165,"00:10:26,976 --> 00:10:31,307",I allowed you to work together because you did this city a great service.,你想要一个充满创伤的成年生活吗？,我允许你们一起工作. 因为你为这个城市做了一个伟大的服务.
166,"00:10:31,560 --> 00:10:34,720",But today you messed it all up.,我允许你们一起工作 是因为你们为这座城市做出了巨大贡献,但今天你搞了一切.
167,"00:10:34,767 --> 00:10:37,960","And now, some are questioning whether you should have been partners",但今天你把一切都搞砸了,"现在,有些人质疑你是否 他们应该是合作伙伴."
168,"00:10:37,985 --> 00:10:38,985","- in the first place. - But, sir...",但今天你把一切都搞砸了,"- - - 首先是我. - 但是,先生..."
169,"00:10:39,019 --> 00:10:43,996","So instead of chasing imaginary reptiles, I am pulling you from the field.",现在有些人质疑你们  当初是否就应该成为搭档,"所以,而不是追逐想象中的爬行动物, 我将你从场上拉出来."
170,"00:10:44,030 --> 00:10:46,664",- What? - And giving you a new assignment,所以 与其追逐想象中的爬行动物,- 什么? - 什么? - 并给你一个新的任务
171,"00:10:46,689 --> 00:10:50,101",reserved for special teams like yourselves.,并给你分配一项  专门给你们这些特勤组保留的新任务,专为特殊团队 像你们自己一样.
172,"00:10:50,302 --> 00:10:55,447","Fail at this, and I will have no choice but to split you up.",并给你分配一项  专门给你们这些特勤组保留的新任务,"如果你失败了,我会 没有别的选择,只要把你分开."
173,"00:10:55,581 --> 00:10:57,360",There will be no more Hopps and Wilde.,如果失败 我将别无选择 只能把你们拆散,没有更多的霍普斯和怀尔德.
174,"00:10:58,349 --> 00:11:05,240","But if you're good as you think you are, this is your moment to shine.",但....如果你真像你认为的那样优秀的话,"但如果你像你想的那样好, 这是你发光的时刻."
175,"00:11:07,780 --> 00:11:14,019","Welcome to Partners in Crisis, a workshop for duos heading for disaster.",欢迎来到《危机搭档》培训课程,"欢迎来到危机中的合作伙伴, 两人前往灾难的研讨会."
176,"00:11:14,320 --> 00:11:18,595","I'm your therapy animal, Dr. Fuzzby, and you are here because",一个为即将走向灾难的双人组举办的工作坊,"我是你的治疗动物,富兹比博士, 你在这里是因为"
177,"00:11:18,620 --> 00:11:23,539",mismatched pairings often need a little more work to make them work.,我是你的治疗动物  茸茸博士,不匹配的配对往往需要一点 更多的工作要让他们工作.
178,"00:11:23,920 --> 00:11:26,173",Greg? We talked about that.,是因为不合适的组合  往往需要更多努力才能奏效,格雷格? 我们谈到了这一点.
179,"00:11:26,206 --> 00:11:28,985",What are we making Marlon? Uncomfortable.,格雷格 我们谈过这件事了哦,我们要做什么马龙? 我觉得不舒服.
180,"00:11:29,152 --> 00:11:29,822",Yes.,格雷格 我们谈过这件事了哦,"是的,是的."
181,"00:11:30,492 --> 00:11:35,034","And Francine, Clark may be a mouse, but he is your partner first.",我们为什么要让梅林不舒服？,"弗兰辛,克拉克可能是 一个小鼠,但他首先是你的伴侣."
182,"00:11:36,262 --> 00:11:38,985",And we have two new partners.,而弗朗辛 克拉克也许就是一只小老鼠,我们有两个新合作伙伴.
183,"00:11:39,242 --> 00:11:43,383",Can you tell us about your journey to dysfunction junction?,我们新增了两位合作伙伴,你能告诉我们关于你的 旅行到功能障碍交叉口?
184,"00:11:43,651 --> 00:11:49,342","Well, we've been official partners for one week, happy anniversary.",你能跟我们说说  您是如何走到功能障碍这一步的吗？,"好吧,我们已经正式 一周的合作伙伴,祝你生日快乐."
185,"00:11:49,621 --> 00:11:52,434","And we are not dysfunctional at all, actually.",我们正式成为合作伙伴已经一周了,"我们并不是功能障碍者. 实际上,我完全没有."
186,"00:11:52,479 --> 00:11:54,253","Functioning fine, better than fine.",周年快乐,"工作很好,更好."
187,"00:11:54,365 --> 00:11:56,427",And we did sorta save the city.,事实上 我们根本没有任何问题,我们拯救了这个城市.
188,"00:11:56,452 --> 00:11:59,990","So, us being here kinda seems like a huge misunderstanding.",实际上运行良好 甚至比良好还要好,"所以,我们在这里似乎 这是一个巨大的误解."
